year,category_code,category_description,citypart_code,citypart_name,branches_total,branches_12visitorsplus,employees
2020,7,catering,B,Westpoort,20,20,120
2020,7,catering,E,West,555,430,865
2020,7,catering,F,Nieuw-West,315,250,525
2020,7,catering,K,Zuid,445,345,780
2020,7,catering,M,Oost,385,295,585
2020,7,catering,N,Noord,245,195,475
2020,7,catering,S,Weesp,0,0,0
2020,7,catering,T,Zuidoost,195,160,4905
2020,8,kantines,A,Centrum,5,5,20
2020,8,kantines,E,West,10,10,40
2020,8,kantines,F,Nieuw-West,10,10,40
2020,8,kantines,K,Zuid,20,15,90
2020,8,kantines,M,Oost,10,10,135
2020,8,kantines,N,Noord,10,5,20
2020,8,kantines,T,Zuidoost,5,5,35
2021,0,rental holiday accomodations,A,Centrum,25,20,55
2021,0,rental holiday accomodations,E,West,10,5,10
2021,0,rental holiday accomodations,F,Nieuw-West,10,5,10
2021,0,rental holiday accomodations,K,Zuid,15,10,25
2021,0,rental holiday accomodations,M,Oost,10,5,15
2021,0,rental holiday accomodations,N,Noord,5,5,5
2021,0,rental holiday accomodations,T,Zuidoost,0,0,5
2021,1,hotels,,,0,0,20
2021,1,hotels,A,Centrum,505,415,5350
2021,1,hotels,B,Westpoort,5,0,20
2021,1,hotels,E,West,130,90,1075
2021,1,hotels,F,Nieuw-West,45,40,665
2021,1,hotels,K,Zuid,150,105,2635
2021,1,hotels,M,Oost,70,55,1105
2021,1,hotels,N,Noord,70,50,530
2021,1,hotels,S,Weesp,0,0,0
2021,1,hotels,T,Zuidoost,25,20,370
2021,2,"campings, hostels, bed and breakfast",A,Centrum,30,20,100
2021,2,"campings, hostels, bed and breakfast",E,West,10,5,105
2021,2,"campings, hostels, bed and breakfast",F,Nieuw-West,5,5,10
2021,2,"campings, hostels, bed and breakfast",K,Zuid,10,5,10
2021,2,"campings, hostels, bed and breakfast",M,Oost,0,0,35
2021,2,"campings, hostels, bed and breakfast",N,Noord,10,5,25
2021,2,"campings, hostels, bed and breakfast",T,Zuidoost,0,0,15
2021,3,restaurants,A,Centrum,830,765,8255
2021,3,restaurants,B,Westpoort,10,10,65
2021,3,restaurants,E,West,285,265,2010
2021,3,restaurants,F,Nieuw-West,140,120,815
2021,3,restaurants,K,Zuid,430,385,4260
2021,3,restaurants,M,Oost,220,200,1645
2021,3,restaurants,N,Noord,95,80,925
2021,3,restaurants,T,Zuidoost,75,65,705
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",,,0,0,5
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",A,Centrum,360,335,2660
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",B,Westpoort,5,5,5
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",E,West,265,245,1125
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",F,Nieuw-West,185,165,775
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",K,Zuid,290,265,1575
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",M,Oost,145,135,675
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",N,Noord,110,100,415
2021,4,"snackbars, lunchrooms, icecream parlors, fish stands",T,Zuidoost,110,100,1050
2021,5,"pubs, cafes, party locations, coffee places",A,Centrum,505,475,5080
2021,5,"pubs, cafes, party locations, coffee places",B,Westpoort,5,5,210
2021,5,"pubs, cafes, party locations, coffee places",E,West,160,145,875
2021,5,"pubs, cafes, party locations, coffee places",F,Nieuw-West,55,45,275
2021,5,"pubs, cafes, party locations, coffee places",K,Zuid,155,135,1200
2021,5,"pubs, cafes, party locations, coffee places",M,Oost,95,90,895
2021,5,"pubs, cafes, party locations, coffee places",N,Noord,45,40,340
2021,5,"pubs, cafes, party locations, coffee places",S,Weesp,0,0,0
2021,5,"pubs, cafes, party locations, coffee places",T,Zuidoost,25,20,140
2021,7,catering,A,Centrum,445,340,785
2021,7,catering,B,Westpoort,30,25,155
2021,7,catering,E,West,585,450,835
2021,7,catering,F,Nieuw-West,340,265,525
2021,7,catering,K,Zuid,490,365,805
2021,7,catering,M,Oost,395,310,595
2021,7,catering,N,Noord,280,225,555
2021,7,catering,S,Weesp,5,0,5
2021,7,catering,T,Zuidoost,225,180,5105
2021,8,kantines,A,Centrum,10,10,25
2021,8,kantines,B,Westpoort,0,0,20
2021,8,kantines,E,West,5,5,30
2021,8,kantines,F,Nieuw-West,15,15,45
2021,8,kantines,K,Zuid,15,15,70
2021,8,kantines,M,Oost,15,10,150
2021,8,kantines,N,Noord,10,5,20
2021,8,kantines,T,Zuidoost,10,5,25
2022,0,rental holiday accomodations,A,Centrum,25,15,55
2022,0,rental holiday accomodations,E,West,5,5,10
2022,0,rental holiday accomodations,F,Nieuw-West,10,5,15
2022,0,rental holiday accomodations,K,Zuid,15,10,25
2022,0,rental holiday accomodations,M,Oost,10,5,15
2022,0,rental holiday accomodations,N,Noord,5,5,10
2022,0,rental holiday accomodations,T,Zuidoost,0,0,0
2022,1,hotels,A,Centrum,480,390,5285
2022,1,hotels,B,Westpoort,5,0,25
2022,1,hotels,E,West,120,80,1000
2022,1,hotels,F,Nieuw-West,50,40,905
2022,1,hotels,K,Zuid,150,105,2690
2022,1,hotels,M,Oost,60,45,1235
2022,1,hotels,N,Noord,65,45,520
2022,1,hotels,S,Weesp,0,0,0
2022,1,hotels,T,Zuidoost,25,20,400
2022,2,"campings, hostels, bed and breakfast",A,Centrum,25,20,95
2022,2,"campings, hostels, bed and breakfast",E,West,10,5,100
2022,2,"campings, hostels, bed and breakfast",F,Nieuw-West,5,5,5
2022,2,"campings, hostels, bed and breakfast",K,Zuid,10,5,10
2022,2,"campings, hostels, bed and breakfast",M,Oost,5,5,35
