,page_id,status_published,total_engagement,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,post_count
3283,1722398264701093,2016-11-01,96981,65979,12023,18979,61642,2077,228,766,128,1138,368
3310,172470146144666,2016-11-01,180625,49867,4365,126393,41496,1466,589,1166,1733,3417,141
3337,172526489431467,2016-11-01,334255,200454,68245,65556,139506,8592,4289,21121,2039,24907,1851
3348,1726840707573399,2016-11-01,6566057,5016613,752208,797236,3680739,1111437,33585,88769,23964,78119,1041
3374,173718089482397,2016-11-01,103,58,9,36,51,1,1,2,0,3,45
3401,174133289343084,2016-11-01,27297,17236,1682,8379,12477,927,303,2247,196,1086,197
3425,1746057572287188,2016-11-01,3908510,2502016,372964,1033530,2038017,95931,34219,129831,23743,180275,626
3436,1746239085597087,2016-11-01,14361,8687,720,4954,6613,967,183,199,288,437,211
3448,1750471095167410,2016-11-01,2924,2189,716,19,1839,113,14,64,55,104,28
3468,1754194318141624,2016-11-01,416052,247792,34298,133962,216754,7520,2882,7810,1580,11246,1865
3477,1770145919930804,2016-11-01,58446,41368,4100,12978,36269,952,491,878,416,2362,958
3504,177486166274,2016-11-01,6912043,4695463,251921,1964659,3469785,243785,97881,256378,241114,386520,795
3510,1782469058666070,2016-11-01,3374,2089,531,754,1573,31,57,175,38,215,11
3535,178739542138433,2016-11-01,14,6,4,4,6,0,0,0,0,0,2
3558,179035672287016,2016-11-01,12264371,9156501,1337652,1770218,8326226,320202,36874,269397,30100,173702,528
3563,1810399205895315,2016-11-01,3,3,0,0,3,0,0,0,0,0,1
3581,182032255155419,2016-11-01,14434,8666,684,5084,7483,164,93,429,76,421,149
3609,182919686769,2016-11-01,8352041,5441863,1621532,1288646,3844003,250301,113871,632210,67494,533984,1677
3614,1829896873946966,2016-11-01,21,17,1,3,15,2,0,0,0,0,1
3641,183356311699411,2016-11-01,2422821,1027817,97536,1297468,771746,47861,17555,125676,8438,56541,625
3668,184859785026060,2016-11-01,8534677,5648653,453876,2432148,5054557,347441,42037,53944,54920,95754,1093
3699,186457858051439,2016-11-01,86791,49842,3359,33590,36559,4593,947,2216,1974,3553,322
3726,186473214703370,2016-11-01,1213330,763981,73526,375823,530232,51200,22998,65043,17344,77164,457
3731,186589878469568,2016-11-01,4,3,0,1,3,0,0,0,0,0,1
3758,188165324600426,2016-11-01,116,78,3,35,73,0,1,0,1,3,18
3784,19051993499,2016-11-01,170,124,16,30,117,5,1,0,0,1,2
3814,19420215926,2016-11-01,806477,551861,132816,121800,400220,22508,8681,56425,11031,52996,339
3841,195442743826815,2016-11-01,1694,1319,76,299,1156,28,10,9,24,92,78
3868,195530355493,2016-11-01,3253172,2169782,198094,885296,1538147,113017,52146,295406,25892,145174,843
3895,196087640574,2016-11-01,3130652,1976186,268932,885534,1462556,105950,43810,153611,25039,185220,719
3910,1969250316633715,2016-11-01,11772264,8659946,806926,2305392,8227105,189790,20292,79966,28379,114414,282
3915,197043394037769,2016-11-01,3,3,0,0,3,0,0,0,0,0,3
3921,197579543998318,2016-11-01,995988,692072,68908,235008,583171,33814,9472,19292,9399,36924,502
3948,199334810084087,2016-11-01,9,5,0,4,5,0,0,0,0,0,64
3975,200137333331078,2016-11-01,1364802,926427,84969,353406,483856,31677,34198,44220,65052,267424,495
4002,200548226627766,2016-11-01,3417,2256,178,983,1712,157,31,25,98,233,58
4029,200583909956972,2016-11-01,71,27,21,23,21,1,0,1,0,4,20
4056,201956993160690,2016-11-01,2453955,1261414,277245,915296,938398,79072,19371,105001,17276,102296,468
4083,20239752285,2016-11-01,16950,11633,1228,4089,7826,314,212,775,673,1833,122
4110,20324257234,2016-11-01,2231250,1279441,138487,813322,728795,58262,60338,137704,60969,233373,384
4123,205525363134528,2016-11-01,2916,1798,302,816,1249,130,41,148,60,170,250
4150,205858019534497,2016-11-01,138,106,10,22,84,13,3,0,1,5,17
4177,20744822491,2016-11-01,11443,8994,459,1990,7992,709,9,17,171,96,21
4204,208385689205703,2016-11-01,27531,17170,2603,7758,13611,622,190,1362,159,1226,963
4231,208763874023,2016-11-01,511076,294169,45157,171750,210722,11059,4885,29055,4733,33715,1857
4255,208799592506432,2016-11-01,3,3,0,0,3,0,0,0,0,0,1
4264,210081569389429,2016-11-01,3153,1907,284,962,1459,76,87,125,37,123,1392
4291,210277954204,2016-11-01,1215610,626195,171802,417613,427114,61355,14078,22442,28132,73074,493
4318,210357995667559,2016-11-01,70415,48962,7466,13987,36949,2032,1088,1889,1372,5632,329
4332,210937299260017,2016-11-01,318,224,27,67,187,9,5,5,1,17,51
4359,212436860202,2016-11-01,91705,67850,9717,14138,51215,4123,1205,6125,1070,4112,162
4386,212848742088398,2016-11-01,7038,4408,662,1968,2473,67,197,820,132,719,191
4410,214752375232773,2016-11-01,7,6,1,0,6,0,0,0,0,0,5
4437,215148520550,2016-11-01,441247,171070,23746,246431,138420,5340,1751,12619,2267,10673,1034
4464,216931248339739,2016-11-01,4,4,0,0,4,0,0,0,0,0,4
4473,217722751695604,2016-11-01,294259,186202,15611,92446,123518,7824,5018,2340,14315,33187,121
4500,218610566124,2016-11-01,154,134,1,19,130,1,0,0,0,3,27
4527,220198801458577,2016-11-01,53598,36372,4135,13091,30202,2459,995,661,306,1749,143
4554,22067606728,2016-11-01,13485286,8187085,588018,4710183,6314438,353908,202438,646501,101810,567990,464
4581,221573484697614,2016-11-01,3790361,2620858,242403,927100,2252727,124209,31726,90375,14368,107453,528
4608,222149727806378,2016-11-01,216321,145589,15413,55319,111312,3595,4418,10067,2051,14146,175
4623,222920264405712,2016-11-01,391115,228418,26242,136455,193263,6208,2423,9864,2454,14206,665
4649,223008867858902,2016-11-01,242030,199528,15917,26585,171375,6396,1580,11361,3311,5505,227
4676,22799114577,2016-11-01,68,42,6,20,39,3,0,0,0,0,14
4720,228702593913193,2016-11-01,8532893,4706862,765758,3060273,3904301,159894,45141,345771,31345,220410,1598
4747,22931596946,2016-11-01,2303,1637,340,326,1404,74,17,7,56,79,18
4789,229633827099583,2016-11-01,4803,4003,226,574,3173,513,168,93,3,53,25
4819,230537773698519,2016-11-01,36832,21349,2428,13055,14849,627,662,440,1746,3025,261
4846,235651699018,2016-11-01,1790,940,122,728,732,9,56,66,16,61,585
4857,235880153440564,2016-11-01,19,9,6,4,9,0,0,0,0,0,26
4884,236763656409160,2016-11-01,27297,16739,1038,9520,12502,851,1051,438,89,1808,20
4908,239225158893,2016-11-01,3114,1799,269,1046,1366,63,30,106,22,212,1041
4935,241732562599215,2016-11-01,57831,30167,4186,23478,22350,977,757,1822,440,3821,692
4962,245481491808,2016-11-01,34769,17885,2932,13952,12732,1251,881,758,380,1883,94
4989,24674986856,2016-11-01,1670876,1077064,260143,333669,902983,122767,11802,7284,12912,19316,48
5016,248272551923470,2016-11-01,12697,11374,1113,210,9210,572,295,1001,71,225,52
5046,249924365130007,2016-11-01,8372,5069,1459,1844,3981,188,59,396,52,393,218
5073,253546571389025,2016-11-01,3599067,2350079,269631,979357,1708187,141154,84884,148822,52789,214243,613
5087,256185128065500,2016-11-01,2949,1663,535,751,1293,70,46,96,31,127,703
5114,26595441166,2016-11-01,1283693,670980,78072,534641,424729,27423,25557,34233,23108,135930,218
5130,267165846826107,2016-11-01,21,14,3,4,12,1,1,0,0,0,2547
5155,268311603350722,2016-11-01,677823,491529,39052,147242,361129,39562,11098,11602,13506,54632,125
5182,269123710083,2016-11-01,544457,457329,17989,69139,396302,33855,3022,19656,1006,3488,17
5192,269815666696444,2016-11-01,5312,2630,1272,1410,1501,198,109,336,34,452,99
5219,27088225427,2016-11-01,16839,10390,4145,2304,8070,563,189,808,240,520,301
5246,271042954725,2016-11-01,3233580,2458869,245759,528952,1928043,129310,52382,86958,34189,227987,415
5273,273864989376427,2016-11-01,2704466,1820900,421161,462405,1239472,159423,48532,120887,83566,169019,689
5300,277613075615568,2016-11-01,410835,216875,19879,174081,169356,9845,3566,6672,8430,19006,383
5327,282024895179874,2016-11-01,522333,305142,68094,149097,202620,12033,7733,41518,3773,37465,294
5342,282183791902004,2016-11-01,149405,50643,3732,95030,37871,2877,356,7349,955,1235,264
5350,283521255350943,2016-11-01,266,153,21,92,136,10,3,4,0,0,23
5375,288607251359,2016-11-01,1859,782,149,928,565,16,61,41,18,81,504
5402,289189664545158,2016-11-01,495038,305971,56670,132397,218928,8736,7838,12853,5909,51707,765
5429,289741874474112,2016-11-01,71096,54469,7737,8890,37486,2396,1273,3100,4000,6214,70
5456,292949924146549,2016-11-01,193918,117913,26667,49338,84484,19986,2655,4908,1769,4111,174
5483,296396490870,2016-11-01,10017,5838,447,3732,4647,157,124,189,126,595,151
5510,296856040436954,2016-11-01,1063417,626911,231043,205463,378497,19219,11269,105864,8821,103241,1423
5537,297768373319,2016-11-01,1423,779,68,576,655,36,16,19,18,35,109
5563,297993800365881,2016-11-01,37,25,7,5,19,1,0,0,0,5,3
5587,300341323465160,2016-11-01,388594,208991,41600,138003,160143,9799,4266,8716,4731,21336,220
5593,303920943326669,2016-11-01,197750,104115,45458,48177,88421,2214,987,1756,1896,8841,455
5622,305986132775543,2016-11-01,33353,23006,3831,6516,17559,887,321,2739,112,1388,162
5628,306406853053018,2016-11-01,45294,10898,1451,32945,7602,374,192,1518,261,951,179
5655,30719304648,2016-11-01,11933,7895,1251,2787,7092,170,102,195,104,232,113
5682,311190048935167,2016-11-01,5124268,3069247,414935,1640086,2157477,124424,71684,233191,46552,435919,812
5708,318434574849521,2016-11-01,590,464,16,110,371,46,6,18,4,19,68
5735,319569361390023,2016-11-01,694647,424481,110421,159745,274295,13309,9878,81659,5892,39448,926
5762,320274540972,2016-11-01,154,100,4,50,78,6,1,1,5,9,14
5789,32109457015,2016-11-01,292108,190867,14649,86592,139210,10147,3149,2000,11555,24806,509
5816,32125256650,2016-11-01,6515,4376,766,1373,3951,93,65,98,72,97,97
5824,322521158087556,2016-11-01,30,17,2,11,13,1,0,3,0,0,37
5851,326614387531342,2016-11-01,3837505,2539974,168326,1129205,1412574,110832,33579,47845,409535,525609,266
5878,329417987110870,2016-11-01,70958,53711,4644,12603,47299,1959,829,860,366,2398,29
5904,330201017032791,2016-11-01,294761,171039,11426,112296,142497,7639,1500,9930,1957,7516,256
5929,330474400493018,2016-11-01,2014133,1257857,275980,480296,558467,575126,13830,25734,6352,78348,1041
5956,33455892182,2016-11-01,106544,62049,13278,31217,35703,2493,2483,8051,1886,11433,803
5983,335723946520373,2016-11-01,17,7,0,10,7,0,0,0,0,0,217
6006,340005092689907,2016-11-01,47959,30499,2912,14548,21670,1518,775,1757,1227,3552,330
6033,341163402640457,2016-11-01,25068781,14486375,1372041,9210365,10807919,2046134,324316,372150,580553,355303,619
6060,343548022384805,2016-11-01,23039,12039,1481,9519,9552,871,293,576,113,634,409
6087,344637645551128,2016-11-01,200769,170353,9187,21229,144637,6081,1459,11771,504,5901,257
6114,346937065399354,2016-11-01,52687952,29441820,1974739,21271393,22289607,1875552,564322,1929800,868030,1914509,751
6141,350154138430441,2016-11-01,36185,18746,3900,13539,15550,300,328,1505,122,941,331
6168,352859651422892,2016-11-01,118537,58565,8163,51809,35098,2157,1594,9724,1852,8140,325
6195,354522044588660,2016-11-01,9774496,7168104,247705,2358687,5683186,1107975,99780,61559,171201,44232,569
6222,357239084310002,2016-11-01,23514,15025,2207,6282,11267,464,328,1062,226,1678,1090
6249,358168880614,2016-11-01,403458,271293,29474,102691,141081,18412,11318,24742,14056,61684,245
6281,359591544295,2016-11-01,569479,346683,56751,166045,255310,13718,7992,23856,4562,41245,562
6308,35994014410,2016-11-01,310321,194248,52286,63787,139601,9182,5622,20562,3255,16026,361
6335,362730580442134,2016-11-01,73860,24815,10039,39006,12117,654,613,3410,969,7052,373
6366,363901400376803,2016-11-01,56,36,1,19,21,4,0,3,1,7,32
6392,364255317006684,2016-11-01,4516,1643,236,2637,1069,63,41,99,35,336,95
6419,369527829841639,2016-11-01,1332757,601257,92726,638774,444726,30021,12452,38355,15240,60463,264
6424,372220329789295,2016-11-01,155,112,9,34,107,2,1,1,0,1,38
6453,385640741463156,2016-11-01,8371,5706,477,2188,4996,198,42,183,10,277,273
6474,387740238090754,2016-11-01,5396921,3726621,300797,1369503,3214874,152348,36421,151068,16094,155816,424
6501,389658314427637,2016-11-01,8268541,4814178,533416,2920947,3840907,169187,58659,390671,51401,303353,1148
6528,392570397445248,2016-11-01,217727,157524,7235,52968,134665,10230,621,636,5776,5596,182
6555,396509850402862,2016-11-01,101189,54266,4524,42399,46015,3412,397,2194,185,2063,66
6582,398203740209235,2016-11-01,21880,11471,1108,9301,7506,188,641,206,611,2319,186
6609,40656699159,2016-11-01,870538,573487,151538,145513,428742,31329,9413,56012,5388,42603,1378
6655,41246929603,2016-11-01,20220,11010,4827,4383,9270,1465,57,105,61,52,111
6682,415136781839268,2016-11-01,42458,34418,3678,4362,29292,862,331,2320,243,1370,178
6709,41632789656,2016-11-01,832625,464867,187881,179877,317575,41172,7767,55192,11442,31719,769
6736,428053320608798,2016-11-01,4643,2582,457,1604,1495,114,151,333,91,398,134
6763,42872222699,2016-11-01,95001,74168,7313,13520,57830,4454,1937,4562,791,4594,62
